goals;yellowCards;redCards;groundDuelsWon;groundDuelsWonPercentage;aerialDuelsWon;aerialDuelsWonPercentage;successfulDribbles;successfulDribblesPercentage;tackles;assists;accuratePassesPercentage;totalDuelsWon;totalDuelsWonPercentage;minutesPlayed;wasFouled;fouls;dispossessed;appearances;saves;savedShotsFromInsideTheBox;savedShotsFromOutsideTheBox;goalsConcededInsideTheBox;goalsConcededOutsideTheBox;highClaims;successfulRunsOut;punches;runsOut;accurateFinalThirdPasses;bigChancesCreated;accuratePasses;keyPasses;accurateCrosses;accurateCrossesPercentage;accurateLongBalls;accurateLongBallsPercentage;interceptions;clearances;dribbledPast;bigChancesMissed;totalShots;shotsOnTarget;blockedShots;goalConversionPercentage;hitWoodwork;offsides;expectedGoals;errorLeadToGoal;errorLeadToShot;passToAssist;player;team
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;36.84;0.0;0.0;90;0.0;0.0;0.0;1.0;6.0;5.0;1.0;0.0;0.0;2.0;1.0;0.0;1.0;2.0;0.0;7.0;0.0;0.0;0.0;3.0;20.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Claudio González;Everton de Viña del Mar
0.36;0.31;0.04;3.72;49.7;1.53;65.38;0.9;55.56;1.75;0.13;77.86;5.25;53.42;90;1.08;1.17;1.17;1.12;0.0;0.0;0.0;0.81;0.13;0.0;0.0;0.0;0.0;16.24;0.22;50.34;2.24;1.79;25.97;5.79;63.55;1.21;1.35;0.81;0.0;1.7;0.54;0.4;21.05;0.04;0.0;0.0;0.04;0.0;0.0;Gonzalo Montes;Huachipato
0.39;0.13;0.0;3.82;44.62;0.39;30.0;0.53;47.06;2.3;0.2;69.35;4.21;42.67;90;0.99;0.86;1.64;1.05;0.0;0.0;0.0;0.86;0.2;0.0;0.0;0.0;0.0;10.33;0.33;26.05;2.37;1.64;24.75;2.76;52.5;0.53;0.2;1.64;0.0;2.83;1.05;0.86;13.95;0.0;0.0;;0.0;0.0;0.0;Matías Marín;O'Higgins
0.49;0.21;0.0;2.0;40.43;2.67;51.01;0.84;54.55;0.42;0.28;69.94;4.67;45.86;90;0.74;1.02;1.19;1.05;0.0;0.0;0.0;1.09;0.11;0.0;0.0;0.0;0.0;7.91;0.28;19.79;1.58;0.25;24.14;1.76;71.43;0.18;0.77;0.21;0.32;3.37;1.62;0.63;14.58;0.0;0.67;0.0;0.0;0.0;0.0;Leandro Garate;Unión Española
0.31;0.47;0.0;4.32;57.89;1.18;57.69;0.94;63.16;2.91;0.0;78.51;5.5;57.85;90;0.47;1.49;0.55;1.26;0.0;0.0;0.0;0.86;0.08;0.0;0.0;0.0;0.0;6.13;0.0;27.28;0.47;0.47;33.33;2.12;56.25;1.02;2.83;0.55;0.08;1.89;0.63;0.86;16.67;0.0;0.08;0.0;0.0;0.0;0.0;Felipe Loyola;Huachipato
0.1;0.17;0.0;5.35;61.69;0.84;58.54;1.29;66.07;3.25;0.1;78.22;6.19;61.25;90;0.8;1.08;0.87;1.05;0.0;0.0;0.0;1.19;0.07;0.0;0.0;0.0;0.0;10.87;0.28;41.8;1.4;0.49;28.0;4.33;51.45;0.98;0.94;0.77;0.03;0.91;0.28;0.28;11.54;0.03;0.03;0.0;0.0;0.0;0.0;Álvaro Madrid;Everton de Viña del Mar
0.05;0.36;0.05;2.9;48.28;0.1;22.22;1.4;62.79;0.73;0.26;71.17;3.01;46.4;90;0.78;1.04;0.99;1.24;0.0;0.0;0.0;1.14;0.36;0.0;0.0;0.0;0.0;10.99;0.52;28.41;3.06;1.87;29.27;5.55;60.11;0.21;0.16;0.52;0.05;3.06;0.67;0.73;1.69;0.05;0.05;0.0;0.0;0.0;0.0;Jorge Luna;Deportes Copiapó
0.62;0.06;0.0;3.14;63.75;0.25;23.53;0.74;66.67;0.43;0.37;68.86;3.39;56.7;90;1.97;0.18;0.92;1.66;0.0;0.0;0.0;1.29;0.12;0.0;0.0;0.0;0.0;8.63;0.55;18.68;2.28;1.6;36.11;2.1;68.0;0.12;0.06;0.31;0.18;1.97;0.99;0.37;31.25;0.06;0.43;0.0;0.0;0.0;0.0;Gastón Lezcano;Cobresal
0.39;0.17;0.06;4.46;53.33;0.84;45.45;1.9;54.84;0.95;0.17;72.24;5.3;51.91;90;1.62;0.67;1.45;1.28;0.0;0.0;0.0;0.95;0.22;0.0;0.0;0.0;0.0;14.67;0.17;28.46;2.18;0.95;30.36;1.23;44.0;0.28;0.33;0.33;0.06;3.35;1.0;1.12;11.67;0.17;0.28;0.0;0.0;0.0;0.0;Carlos Palacios;Colo Colo
0.63;0.16;0.0;3.56;40.91;2.33;47.97;1.46;45.68;0.63;0.12;67.07;5.89;43.44;90;1.46;0.71;2.45;1.03;0.0;0.0;0.0;1.11;0.16;0.0;0.0;0.0;0.0;8.78;0.08;17.56;1.15;0.24;31.58;1.11;50.0;0.2;0.51;0.4;0.4;3.88;1.7;0.63;16.33;0.04;0.59;0.0;0.0;0.0;0.0;Rodrigo Holgado;Coquimbo Unido
