name;slug;shortName;position;jerseyNumber;userCount;id;country;marketValueCurrency;dateOfBirthTimestamp;firstName;lastName;shirtNumber;jerseyNumber;position;substitute;totalPass;accuratePass;totalLongBalls;accurateLongBalls;totalClearance;savedShotsFromInsideTheBox;saves;punches;minutesPlayed;touches;rating;possessionLostCtrl;ratingVersions;totalCross;accurateCross;aerialWon;duelLost;duelWon;challengeLost;dispossessed;totalContest;wonContest;shotOffTarget;onTargetScoringAttempt;blockedScoringAttempt;outfielderBlock;interceptionWon;totalTackle;fouls;keyPass;wasFouled;aerialLost;totalOffside;goals;goalAssist;bigChanceCreated;captain;team
Gabriel Castellón;gabriel-castellon;G. Castellón;G;25;38;805183;{'alpha2': 'CL', 'name': 'Chile'};EUR;747446400;;;25;25;G;False;25.0;23.0;5.0;3.0;1.0;2.0;4.0;1.0;90.0;38.0;7.7;2.0;{'original': 7.7, 'alternative': 7.6};;;;;;;;;;;;;;;;;;;;;;;;;Huachipato
Felipe Loyola;loyola-felipe;F. Loyola;D;5;120;1125917;{'alpha2': 'CL', 'name': 'Chile'};EUR;973728000;Felipe Loyola;;35;35;D;False;27.0;22.0;3.0;2.0;2.0;;;;90.0;57.0;7.2;10.0;{'original': 7.2, 'alternative': 7.5};2.0;1.0;1.0;5.0;3.0;2.0;1.0;1.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0;2.0;1.0;;;;;;;;Huachipato
Benjamín Gazzolo;benjamin-gazzolo;B. Gazzolo;D;4;38;986451;{'alpha2': 'CL', 'name': 'Chile'};EUR;868838400;;;4;4;D;False;64.0;52.0;11.0;4.0;7.0;;;;90.0;77.0;7.0;12.0;{'original': 7, 'alternative': 7.1};;;5.0;2.0;7.0;1.0;;;;;;;;1.0;;1.0;;2.0;;;;;;;Huachipato
Nicolás Ramírez;nicolas-ramirez;N. Ramírez;D;;48;831012;{'alpha2': 'CL', 'name': 'Chile'};EUR;862444800;;;5;5;D;False;56.0;52.0;3.0;3.0;2.0;;;;90.0;62.0;7.1;4.0;{'original': 7.1, 'alternative': 7.1};;;1.0;2.0;4.0;;;;;;;;;;2.0;1.0;;1.0;1.0;;;;;;Huachipato
Nicolás Baeza;nicolas-baeza;N. Baeza;D;17;13;862702;{'alpha2': 'CL', 'name': 'Chile'};EUR;862963200;;;17;17;D;False;45.0;36.0;4.0;3.0;2.0;;;;90.0;77.0;7.5;21.0;{'original': 7.5, 'alternative': 7.4};8.0;2.0;;4.0;3.0;;;2.0;1.0;;;1.0;1.0;2.0;2.0;2.0;;;1.0;1.0;;;;;Huachipato
Gonzalo Montes;gonzalo-montes;G. Montes;M;8;134;925198;{'alpha2': 'UY', 'name': 'Uruguay'};EUR;788054400;;;8;8;M;False;57.0;46.0;14.0;8.0;2.0;;;;89.0;86.0;7.2;28.0;{'original': 7.2, 'alternative': 7.3};14.0;2.0;;3.0;4.0;1.0;;2.0;;;;;;2.0;2.0;;3.0;2.0;;;;;;;Huachipato
Claudio Sepúlveda;claudio-sepulveda;C. Sepúlveda;M;6;24;249373;{'alpha2': 'CL', 'name': 'Chile'};EUR;708912000;;;6;6;M;False;67.0;61.0;6.0;5.0;1.0;;;;90.0;71.0;7.1;6.0;{'original': 7.1, 'alternative': 7.2};;;;2.0;2.0;;;1.0;1.0;;;;;;1.0;;;;2.0;;;;;True;Huachipato
Jimmy Martínez;jimmy-martinez;J. Martínez;M;20;37;588796;{'alpha2': 'CL', 'name': 'Chile'};EUR;854236800;;;20;20;M;False;24.0;18.0;5.0;4.0;;;;;61.0;38.0;6.7;14.0;{'original': 6.7, 'alternative': 6.9};2.0;;1.0;3.0;3.0;;2.0;;;;;1.0;1.0;;;;1.0;2.0;1.0;;;;;;Huachipato
Julián Brea;julian-brea;J. Brea;F;21;24;974736;{'alpha2': 'AR', 'name': 'Argentina'};EUR;939513600;;;21;21;F;False;26.0;16.0;3.0;1.0;1.0;;;;89.0;48.0;7.0;22.0;{'original': 7, 'alternative': 7.1};7.0;;1.0;5.0;9.0;;;6.0;3.0;1.0;;;;;2.0;1.0;;3.0;1.0;;;;;;Huachipato
Maximiliano Rodríguez;maximiliano-rodriguez;M. Rodríguez;F;9;69;940483;{'alpha2': 'CL', 'name': 'Chile'};EUR;959731200;;;15;15;F;False;5.0;2.0;;;1.0;;;;89.0;10.0;7.5;3.0;{'original': 7.5, 'alternative': 7.6};;;3.0;2.0;4.0;;;;;;3.0;;;;;1.0;;1.0;1.0;;1.0;;;;Huachipato
